what,kind,bundleId,bundleVersion,description,time
java.vm.info,sysinfo,,,"mixed mode",1430734025124
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1430734025124
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1430734025124
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1430734025124
java.vm.specification.version,sysinfo,,,"1.8",1430734025124
java.vm.vendor,sysinfo,,,"Oracle Corporation",1430734025124
java.vm.version,sysinfo,,,"25.40-b25",1430734025124
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1430734025611
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1430734025768
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1430734025769
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1430734025770
started,bundle,org.python.pydev.debug,3.9.2.201502050007,"org.python.pydev.debug",1430734025793
started,bundle,org.python.pydev.shared_interactive_console,3.9.2.201502050007,"org.python.pydev.shared_interactive_console",1430734025855
started,bundle,com.android.ide.eclipse.adt,23.0.4.1468518,"com.android.ide.eclipse.adt",1430734026093
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1430734026207
started,bundle,com.python.pydev.debug,3.9.2.201502050007,"com.python.pydev.debug",1430734026377
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1430734026682
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1430734026685
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1430734026701
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1430734027012
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1430734027040
started,bundle,org.eclipse.jst.servlet.ui,1.1.502.v201202011054,"org.eclipse.jst.servlet.ui",1430734027246
started,bundle,org.eclipse.jpt.common.core,1.0.2.v201111103010,"org.eclipse.jpt.common.core",1430734036309
