what,kind,bundleId,bundleVersion,description,time
activated,editor,com.android.ide.eclipse.adt,23.0.4.1468518,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1430828491493
started,bundle,org.eclipse.jem.workbench,2.0.400.v201104251400,"org.eclipse.jem.workbench",1430828492467
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1430828492540
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1430828492632
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1430828499107
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430828504151
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430828526408
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1430828526449
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430828530525
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430828531705
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1430828531711
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1430828533610
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430828548861
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430828551216
activated,editor,com.android.ide.eclipse.adt,23.0.4.1468518,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1430828551798
started,bundle,com.android.ide.eclipse.ddms,23.0.4.1468518,"com.android.ide.eclipse.ddms",1430828552715
opened,view,com.android.ide.eclipse.ddms,23.0.4.1468518,"com.android.ide.eclipse.ddms.views.LogCatView",1430828552808
started,bundle,com.android.ide.eclipse.traceview,23.0.4.1468518,"com.android.ide.eclipse.traceview",1430828552904
started,bundle,com.android.ide.eclipse.gldebugger,23.0.4.1468518,"com.android.ide.eclipse.gldebugger",1430828552951
opened,view,com.android.ide.eclipse.ddms,23.0.4.1468518,"com.android.ide.eclipse.ddms.views.DeviceView",1430828553143
opened,view,com.android.ide.eclipse.ddms,23.0.4.1468518,"com.android.ide.eclipse.ddms.views.ThreadView",1430828553189
activated,view,com.android.ide.eclipse.ddms,23.0.4.1468518,"com.android.ide.eclipse.ddms.views.ThreadView",1430828553243
activated,perspective,com.android.ide.eclipse.ddms,23.0.4.1468518,"com.android.ide.eclipse.ddms.Perspective",1430828553257
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430828553330
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430828554593
activated,view,com.android.ide.eclipse.ddms,23.0.4.1468518,"com.android.ide.eclipse.ddms.views.DeviceView",1430828554943
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1430828556298
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1430828556302
started,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1430828556306
opened,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1430828556383
opened,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.VariableView",1430828556516
activated,perspective,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugPerspective",1430828556610
activated,editor,com.android.ide.eclipse.adt,23.0.4.1468518,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1430828556705
activated,perspective,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavaPerspective",1430828557212
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1430828559257
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1430828560565
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1430828561254
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1430828561904
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430828580340
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430828587457
started,bundle,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.ui",1430828587876
started,bundle,org.eclipse.jst.jsp.core,1.2.402.v201112071853,"org.eclipse.jst.jsp.core",1430828587900
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430828597656
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430828598498
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430828598503
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430828599904
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430828609011
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430828615592
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430828617556
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430828633109
activated,editor,com.android.ide.eclipse.adt,23.0.4.1468518,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1430828633164
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1430828765482
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1430828784125
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1430828784331
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1430828784373
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1430828784471
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1430828786716
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430828787450
